customer_id,annual_income_k,spend_score,purchase_frequency,avg_order_value,cluster,pca_x,pca_y,centroid_distance,assignment_margin,assignment_confidence,uncertainty_label
C024,33.383,34.125,2.681,16.864,1,-2.0510499461119247,0.4961278040917707,0.4369871593538722,2.8823034531048375,0.8683492316961722,clear
C025,44.311,21.479,1.933,17.004,1,-2.295084605381297,-0.12299550805940335,0.42397180157916065,3.119909308922268,0.8803651171246057,clear
C026,33.661,22.99,2.362,29.9,1,-2.192794357135528,0.020020827185728556,0.2667628858738273,3.228018411836063,0.9236682175080211,clear
C027,46.581,10.13,1.576,26.81,1,-2.456028462011412,-0.6026420842015444,0.8631672973667949,2.7065810009766724,0.75819939524382,clear
C028,37.175,27.283,3.222,23.477,1,-1.9361416876361082,0.36409609376092444,0.49991773076739077,2.7562916016858976,0.8464724838833554,clear
C029,30.443,36.321,1.818,31.159,1,-2.0529059103619267,0.16875149289881097,0.5005842363273948,2.9463966150836938,0.8547760321550754,clear
C030,43.202,33.746,2.586,20.425,1,-1.8602863770686935,0.2665821031999194,0.43268080031342854,2.7742981824801487,0.8650814979970579,clear
C031,37.064,21.183,0.755,26.471,1,-2.5571447675887273,-0.4558544968912858,0.7080755527748177,2.980070391854845,0.8080131417234582,clear
C032,40.295,28.36,2.626,14.929,1,-2.093396605461053,0.28681490391276526,0.35239738958562244,3.0723359023048546,0.8971022384662554,clear
C033,35.158,36.411,2.358,31.598,1,-1.8476529721696362,0.2376734564034326,0.45531539249679454,2.7526936925063197,0.8580691698707105,clear
C034,29.872,14.334,1.862,26.686,1,-2.5989530587811904,-0.1849298027750809,0.6109432933271997,3.1972269926070775,0.8395703848686183,clear
C035,38.66,19.602,1.809,13.996,1,-2.501513744535196,-0.06776612630157096,0.4526360395333401,3.297029537041351,0.8792862909265573,clear
C036,29.012,36.392,1.295,30.27,1,-2.198779292565629,0.06289720532745391,0.6346471173165444,2.9355574951190047,0.8222378865609061,clear
C037,40.732,20.191,2.314,20.812,1,-2.2571704557638435,-0.03975382350150998,0.35668419641013455,3.1788724282376273,0.899115122658891,clear
C038,43.736,26.818,2.99,22.645,1,-1.8904021059036467,0.20247937195231389,0.4693674008020442,2.795067766554778,0.8562178825006086,clear
C039,36.883,28.689,2.31,31.18,1,-2.0040065188951575,0.052010311740171504,0.21088458078851982,3.1186992838766225,0.9366633821642067,clear
C040,37.273,38.521,2.587,25.248,1,-1.7967806552604317,0.38974676447616496,0.5326830673335667,2.5763103670757515,0.8286638172219969,clear
C041,65.298,83.04,7.322,60.159,0,1.1376573761934787,1.6584371771130388,0.3838971303258622,2.6445808631531946,0.8732376027983454,clear
C042,79.883,85.086,7.778,64.938,0,1.5987256042468723,1.5358332875851028,0.5494542001084713,2.4213509169759906,0.8150487230048588,clear
C043,78.329,94.49,7.035,75.287,0,1.7558203030165596,1.4116455753258084,0.7241105275649137,2.1826770496769203,0.7508897680607259,clear
C044,72.832,80.376,5.297,68.472,0,0.8899643863952085,0.8390791409196464,0.7532700020997475,1.5213151246168746,0.6688319143337152,clear
C045,73.718,64.107,6.704,77.359,0,0.9570754632424499,0.7702642274553587,0.7144202701627169,1.4703973787544504,0.6730069118048384,clear
C046,60.52,86.932,7.422,81.295,0,1.432923988870175,1.5637147603009225,0.6739024410935579,2.34022200971575,0.7764185082296082,clear
C047,77.924,65.473,6.802,53.21,0,0.7714519707566801,1.068956230631515,0.7195922244104055,1.7884444194998195,0.7130854422890309,clear
C048,84.587,84.107,7.244,76.664,0,1.6980329872407984,1.150163973882913,0.5538753784077688,2.05850866875837,0.7879808755498252,clear
C049,76.71,92.978,5.685,71.21,0,1.3553777070822548,1.0961382005426505,0.8422571375743753,1.7715248095816507,0.6777630442773511,clear
C050,66.687,84.92,9.126,77.345,0,1.8071176400793303,1.9384476054096045,1.1156938253776232,2.345137703218567,0.6776226129013048,clear
C051,72.572,78.114,7.348,88.795,0,1.531115058237449,1.089226888091965,0.5974291407965746,1.9530460975179775,0.7657577176905361,clear
C052,65.587,79.598,6.913,52.401,0,0.8799294190089594,1.576051885486014,0.4310595299502164,2.5160599331963045,0.8537353048152343,clear
C053,66.99,76.642,6.507,68.527,0,0.9608385668121275,1.180185451793363,0.2795148585427563,2.272779149847172,0.8904848510305113,clear
C054,84.124,77.644,6.039,64.279,0,1.1319123209084347,0.8653692883780192,0.5793079942821049,1.6909366551052794,0.7448257418254773,clear
C055,68.817,79.093,6.922,48.179,0,0.8733185974099776,1.5731605172791514,0.49135193761199614,2.461733567968208,0.8336140498866259,clear
C056,72.287,88.856,7.562,57.817,0,1.4107560512583348,1.7598995681541283,0.5662643849770759,2.5912069341744455,0.8206588982954743,clear
C057,71.253,67.938,5.314,86.913,0,0.8272533375704353,0.38685815398658663,1.0250131421394333,0.777064124392643,0.43120466520729595,moderate
C058,83.437,55.617,7.573,69.56,0,1.0239798344573494,0.7881164382033833,1.135948708984732,1.2433551610767426,0.522570982513729,moderate
C059,86.527,77.829,5.352,60.399,0,0.9830508551027736,0.6971682603168133,0.889932898067243,1.2708554449615785,0.588144345123685,clear
C060,77.194,75.489,7.117,51.847,0,1.0298554855665043,1.3790532869241712,0.46297501835871085,2.3146343083075123,0.8333188854480164,clear
C061,73.988,77.221,6.572,85.479,0,1.3293302037188637,0.8838427102610216,0.5090280195977945,1.782666257990108,0.7778813585320088,clear
C062,67.012,72.614,6.499,68.846,0,0.8742985551640308,1.0945074832493757,0.3868751797954321,2.083543144098646,0.843396895151908,clear
C063,58.026,72.12,5.976,64.63,0,0.5396118457538994,1.1363339215261874,0.714224440617192,1.8502375537683429,0.721491508869748,clear
C064,74.667,73.321,8.756,65.514,0,1.4601173988546927,1.6405501256681991,0.9091506597351035,2.2306168855792268,0.7104401371713376,clear
C065,73.628,84.923,6.19,85.728,0,1.4161369853163652,0.9346799233017823,0.63434706524077,1.7520559845483246,0.7341827629256372,clear
C066,54.457,64.092,7.32,65.127,0,0.5894515125488108,1.3885697784918616,0.9064134090740099,1.9638939429813727,0.6842103308466456,clear
C067,78.912,99.0,6.613,74.956,0,1.772546174983016,1.382012527667482,0.9150376371196463,2.0195588942514595,0.6881896276582453,clear
C068,69.832,90.378,4.915,78.677,0,1.1093568726415277,0.8477748898963449,1.0900139170303753,1.343112985686442,0.5520110702761656,clear
C069,66.268,83.669,7.569,54.07,0,1.1426285466461583,1.8005069273272805,0.5288614507366479,2.642099032852845,0.8332172685614857,clear
C070,46.401,77.43,8.104,53.998,0,0.765681922734816,2.1279674999354476,1.085426800943933,2.459772597105291,0.6938319459432385,clear
C071,83.867,74.488,7.482,61.56,0,1.3278614193380334,1.2303185004859267,0.5399337935876493,2.12539367547949,0.7974230934645246,clear
C072,63.647,81.913,7.878,72.838,0,1.3644745864231376,1.6483645618038425,0.5699576349296213,2.491984419748731,0.8138574719078107,clear
C073,80.957,77.337,5.767,41.96,0,0.7241855208015336,1.1214628272528107,0.8849540493819082,1.725713024573872,0.6610237826912979,clear
C074,80.687,74.271,8.395,52.867,0,1.3482380674191004,1.6320655270255051,0.8639227236167792,2.248871718153967,0.7224607214585851,clear
C075,69.885,74.406,6.444,71.044,0,0.9814490747580511,1.0425459189074833,0.3261892952699117,2.0863023393641846,0.8647915331240579,clear
C076,69.364,92.348,6.786,73.02,0,1.468057119637189,1.4694454347485375,0.5948978163989044,2.31925598794601,0.795859156262813,clear
C077,79.602,73.581,7.94,54.55,0,1.2391119041914347,1.4912107704667028,0.6778885409936325,2.2584763410885236,0.7691402232978122,clear
C078,73.115,77.43,7.285,51.581,0,1.0330044668272935,1.5284166437177589,0.43947736161547674,2.473826429495861,0.8491481173517337,clear
C079,65.417,94.523,6.042,83.056,0,1.418301249282,1.243820791291959,0.902356826219248,1.881178581181048,0.6758234783648716,clear
C080,69.138,77.478,6.472,63.593,0,0.946377180465904,1.2175565269997681,0.25220289136077495,2.334348844137481,0.9024945498288314,clear
C081,119.341,45.915,3.63,131.673,2,1.4079683114535628,-1.8119100546371516,0.6365244846075346,2.4716490113925746,0.795209474172959,clear
C082,105.406,60.655,4.04,142.57,2,1.7158981659523496,-1.338113533087536,0.8812273066540336,1.840975783494196,0.6762815714069119,clear
C083,107.067,38.719,3.368,111.984,2,0.7225705886709839,-1.5822822036519915,0.4739234940241524,2.440660139861137,0.8373958158159325,clear
C084,109.847,39.268,4.294,118.146,2,1.059241434009877,-1.4443159430658965,0.5960142158194977,2.1938322781031565,0.7863630787149605,clear
C085,116.264,59.973,3.536,115.469,2,1.4368778334859806,-1.3057950580521678,0.5811362557889761,2.0469202234110377,0.7788722349049837,clear
C086,93.137,62.855,3.96,120.986,2,1.2531259600313511,-0.8507873361727646,0.7643888719849409,1.4251539730582308,0.6508911101167014,clear
C087,84.221,59.96,3.4,117.12,2,0.8630940207209289,-0.8716259418186765,0.8558158776440152,1.420036843386146,0.6239581455619714,clear
C088,102.868,50.914,4.044,117.777,2,1.1366073023928684,-1.1709301801704892,0.28967767501232566,2.166785173103696,0.8820752875483163,clear
C089,117.089,59.2,2.968,116.053,2,1.3215712440920073,-1.4938930752341972,0.6225257405632719,2.2041557112626915,0.7797679890101743,clear
C090,123.441,51.251,2.739,117.432,2,1.2267268729826484,-1.8268389622408785,0.6991493764069096,2.4454482329517635,0.7776665051432453,clear
C091,108.245,37.175,3.518,77.386,2,0.29538074391761027,-1.1460474679128798,1.1116225072038435,1.5997446449872315,0.5900140243620148,clear
C092,123.953,57.669,3.445,113.894,2,1.4820352116157733,-1.4733887698320904,0.7137297775577873,2.1066527219430213,0.7469386589641251,clear
C093,96.723,48.455,3.392,96.618,2,0.5630353279946005,-1.0284354615821176,0.5737278668640847,1.8179466296324227,0.7601145692256528,clear
C094,94.679,27.342,2.947,130.824,2,0.40488580080353187,-1.9705487007180997,1.1192101404119754,2.265607660776041,0.6693440515412231,clear
C095,104.662,58.255,2.425,104.176,2,0.8132219024522909,-1.3150620603384107,0.6938299193956897,2.008881525910367,0.7432837602398505,clear
C096,99.917,47.996,1.826,115.81,2,0.5248557706868632,-1.7541054816666242,0.803012591090328,2.340678013250509,0.7445637334725241,clear
C097,99.321,62.722,2.717,110.639,2,0.9630077564330838,-1.1497819300034384,0.7243894208686674,1.8090825197075904,0.714072451615983,clear
C098,97.711,39.712,3.165,142.103,2,0.9241991641047413,-1.8604504835209683,0.8502987520442948,2.372112146936313,0.7361296312915022,clear
C099,107.728,57.525,3.557,97.215,2,1.0012079070348443,-0.9826789901454923,0.5925301984489659,1.7220982870646002,0.7440063482509608,clear
C100,113.792,42.633,4.45,119.626,2,1.2556418772047122,-1.4158942944606123,0.6094242347418793,2.1445779569726855,0.7787132353869084,clear
C101,120.148,47.52,3.219,129.161,2,1.338461455379706,-1.871058585264887,0.6150161295049998,2.5425980897621505,0.8052275905801631,clear
C102,97.603,41.038,3.46,107.46,2,0.568071794516427,-1.3085364114007103,0.4957810948563522,2.171724071486053,0.8141405305931794,clear
C103,96.519,41.92,2.429,90.196,2,0.127910266967809,-1.3301203058912838,0.9293502516690558,1.7934341733807124,0.6586765213143642,clear
C104,101.006,45.395,4.736,98.275,2,0.8766905630403689,-0.8141583577358185,0.7682620244910222,1.4102439982983341,0.6473445487622107,clear
C105,128.172,55.799,4.011,104.038,2,1.507993272781453,-1.29613297779473,0.8930084394522804,1.8091753369896417,0.6695234250025208,clear
C106,104.148,40.969,4.027,126.987,2,1.053626532749897,-1.508714222367218,0.5298445640288564,2.3066108939749026,0.8132018740030733,clear
C107,106.892,61.025,4.45,122.772,2,1.5822215028995381,-0.9891698360777862,0.7006838683978753,1.607987141906979,0.6964990398067363,clear
C108,93.088,54.835,2.822,125.091,2,0.8863036605737366,-1.3662612346897542,0.624429287022944,2.104807030615399,0.771207321627878,clear
C109,123.833,55.552,3.421,141.525,2,1.7836737991721294,-1.8744062732364994,0.939040467372171,2.276573662881923,0.7079747664568294,clear
C110,118.36,36.785,4.163,103.77,2,0.9416798332047837,-1.4744475825864773,0.8170288354638633,2.0644475149640966,0.7164547835547853,clear
C111,95.341,32.982,3.481,107.29,2,0.35169089419831434,-1.4241443288557523,0.8153547565257974,2.05148766503205,0.7155913591920646,clear
C112,91.836,52.544,3.331,147.201,2,1.2058395918914957,-1.5390710424966103,0.9426536790927269,2.0151739100411405,0.68130201957824,clear
C113,109.728,57.422,4.048,90.846,2,1.056187906755509,-0.8015912542633862,0.7799865167538003,1.3744408205925187,0.6379610937751393,clear
C114,88.807,53.072,3.808,120.464,2,0.9207544833666111,-1.0105431845158006,0.6200384580641052,1.7358053891990723,0.7368083377918218,clear
C115,113.775,49.532,3.827,120.561,2,1.2885067363387477,-1.4597128712778606,0.339604678007106,2.4076538294916756,0.8763841563944064,clear
C116,100.31,48.7,2.814,129.274,2,0.9299555723290105,-1.6535293132572761,0.5035077073877477,2.4665083930332297,0.830469704417973,clear
C117,105.384,64.992,2.27,112.866,2,1.054486195806337,-1.3471477222602244,0.8861224222466436,1.887730005212239,0.6805444970775112,clear
C118,98.677,49.29,2.997,101.612,2,0.5967481862353375,-1.2124115336578298,0.48566685160930206,2.0810460093915575,0.8107825542199831,clear
C119,106.64,38.717,5.045,122.403,2,1.2041882801515322,-1.2585820663100655,0.878316304255323,1.7986615324835293,0.6719000463129328,clear
C120,100.815,37.748,3.746,106.194,2,0.5960785107830853,-1.3293060924494853,0.5914856042312774,2.114597926503202,0.781423744864691,clear
